,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
0,41,0.0,0.0,1102,0.0,1,2,0.0,1,1,2,1.0,94,3,2,0.0,4,0.0,5993,19479,8,1.0,0.0,11,3,1,80,0,8,0,1,6,4,0,5
1,49,1.0,0.0,279,0.0,8,1,0.0,1,2,3,0.0,61,2,2,0.0,2,0.0,5130,24907,1,1.0,1.0,23,4,4,80,1,10,3,3,10,7,1,7
2,37,0.0,0.0,1373,0.0,2,2,0.0,1,4,4,0.0,92,2,1,0.0,3,0.0,2090,2396,6,1.0,0.0,15,3,2,80,0,7,3,3,0,0,0,0
3,33,1.0,0.0,1392,0.0,3,4,0.0,1,5,4,1.0,56,3,1,0.0,3,0.0,2909,23159,1,1.0,0.0,11,3,3,80,0,8,3,3,8,7,3,0
4,27,1.0,0.0,591,0.0,2,1,0.0,1,7,1,0.0,40,3,1,0.0,2,0.0,3468,16632,9,1.0,1.0,12,3,4,80,1,6,3,3,2,2,2,2
5,32,1.0,0.0,1005,0.0,2,2,0.0,1,8,4,0.0,79,3,1,0.0,4,0.0,3068,11864,0,1.0,1.0,13,3,3,80,0,8,2,2,7,7,3,6
6,59,1.0,0.0,1324,0.0,3,3,0.0,1,10,3,1.0,81,4,1,0.0,1,0.0,2670,9964,4,1.0,0.0,20,4,1,80,3,12,3,2,1,0,0,0
7,30,1.0,0.0,1358,0.0,24,1,0.0,1,11,4,0.0,67,3,1,0.0,3,1.0,2693,13335,1,1.0,1.0,22,4,2,80,1,1,2,3,1,0,0,0
8,38,1.0,0.0,216,0.0,23,3,0.0,1,12,4,0.0,44,2,3,0.0,3,0.0,9526,8787,0,1.0,1.0,21,4,2,80,0,10,2,3,9,7,1,8
9,36,1.0,0.0,1299,0.0,27,3,0.0,1,13,3,0.0,94,3,2,1.0,3,0.0,5237,16577,6,1.0,1.0,13,3,2,80,2,17,3,2,7,7,7,7
