User ID,Gender,Age,EstimatedSalary,Purchased
15624510,0,19,19000,0
15810944,0,35,20000,0
15668575,1,26,43000,0
15603246,1,27,57000,0
15804002,0,19,76000,0
15728773,0,27,58000,0
15598044,1,27,84000,0
15694829,1,32,150000,1
15600575,0,25,33000,0
15727311,1,35,65000,0
15570769,1,26,80000,0
15606274,1,26,52000,0
15746139,0,20,86000,0
15704987,0,32,18000,0
15628972,0,18,82000,0
15697686,0,29,80000,0
15733883,0,47,25000,1
15617482,0,45,26000,1
15704583,0,46,28000,1
15621083,1,48,29000,1
15649487,0,45,22000,1
15736760,1,47,49000,1
15714658,0,48,41000,1
15599081,1,45,22000,1
15705113,0,46,23000,1
15631159,0,47,20000,1
15792818,0,49,28000,1
15633531,1,47,30000,1
15744529,0,29,43000,0
15669656,0,31,18000,0
15581198,0,31,74000,0
15729054,1,27,137000,1
15573452,1,21,16000,0
15776733,1,28,44000,0
15724858,0,27,90000,0
15713144,0,35,27000,0
15690188,1,33,28000,0
15689425,0,30,49000,0
15671766,1,26,72000,0
15782806,1,27,31000,0
15764419,1,27,17000,0
15591915,1,33,51000,0
15772798,0,35,108000,0
15792008,0,30,15000,0
15715541,1,28,84000,0
15639277,0,23,20000,0
15798850,0,25,79000,0
15776348,1,27,54000,0
15727696,0,30,135000,1
15793813,1,31,89000,0
15694395,1,24,32000,0
15764195,1,18,44000,0
15744919,1,29,83000,0
15671655,1,35,23000,0
15654901,1,27,58000,0
15649136,1,24,55000,0
15775562,1,23,48000,0
15807481,0,28,79000,0
15642885,0,22,18000,0
15789109,1,32,117000,0
15814004,0,27,20000,0
15673619,0,25,87000,0
15595135,1,23,66000,0
15583681,0,32,120000,1
15605000,1,59,83000,0
15718071,0,24,58000,0
15679760,0,24,19000,0
15654574,1,23,82000,0
15577178,1,22,63000,0
15595324,1,31,68000,0
15756932,0,25,80000,0
15726358,1,24,27000,0
15595228,1,20,23000,0
15782530,1,33,113000,0
15592877,0,32,18000,0
15651983,0,34,112000,1
15746737,0,18,52000,0
15774179,1,22,27000,0
15667265,1,28,87000,0
15655123,1,26,17000,0
15595917,0,30,80000,0
15668385,0,39,42000,0
15709476,0,20,49000,0
15711218,0,35,88000,0
15798659,1,30,62000,0
15663939,1,31,118000,1
15694946,0,24,55000,0
15631912,1,28,85000,0
15768816,0,26,81000,0
15682268,0,35,50000,0
15684801,0,22,81000,0
15636428,1,30,116000,0
15809823,0,26,15000,0
15699284,1,29,28000,0
15786993,1,29,83000,0
15709441,1,35,44000,0
15710257,1,35,25000,0
15582492,0,28,123000,1
15575694,0,35,73000,0
15756820,1,28,37000,0
15766289,0,27,88000,0
15593014,0,28,59000,0
15584545,1,32,86000,0
15675949,1,33,149000,1
15672091,1,19,21000,0
15801658,0,21,72000,0
15706185,1,26,35000,0
