,name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,torque,se@s
0,1249,2014,450000,145500,1,1,1,0,23.4,1248.0,74.0,1.0,5.0
1,1546,2014,370000,120000,1,1,1,2,21.14,148.0,13.52,25.0,5.0
2,375,2006,158000,140000,3,1,1,4,17.7,147.0,78.0,12.7,5.0
3,743,2010,225000,127000,1,1,1,0,23.0,136.0,0.0,22.4,5.0
4,1290,2007,130000,120000,3,1,1,0,16.1,128.0,88.2,11.5,5.0
5,655,2017,440000,45000,3,1,1,0,2.14,117.0,81.86,113.75,5.0
6,1338,2007,96000,175000,2,1,1,0,17.3,161.0,57.5,7.8,5.0
7,1016,2001,45000,5000,3,1,1,2,16.1,76.0,37.0,5.0,4.0
8,1838,2011,350000,90000,1,1,1,0,23.5,1364.0,67.1,17.0,5.0
9,278,2013,200000,169000,1,1,1,0,2.0,13.0,68.1,16.0,5.0
10,1460,2014,500000,68000,1,1,1,2,1.1,1461.0,18.45,248.0,5.0
11,1372,2005,92000,100000,3,1,1,2,17.3,3.0,6.0,78.0,5.0
12,1251,2009,280000,140000,1,1,1,2,1.3,1248.0,73.0,1.0,5.0
13,1340,2009,180000,90000,3,1,1,2,18.0,161.0,67.0,84.0,5.0
14,846,2016,400000,40000,3,1,1,0,18.15,118.0,82.0,115.0,5.0
15,1147,2016,778000,70000,1,1,1,2,24.52,1248.0,88.5,2.0,7.0
16,688,2012,500000,53000,1,1,1,2,23.0,136.0,0.0,22.4,5.0
17,1055,2002,150000,80000,3,1,1,2,1.7,76.0,46.3,62.0,5.0
18,695,2016,680000,100000,1,1,1,0,22.54,136.0,88.73,21.7,5.0
19,954,2011,174000,100000,1,1,1,2,21.0,1461.0,64.1,16.0,5.0
20,449,2017,950000,50000,1,1,1,0,25.5,148.0,8.6,2.0,5.0
21,1259,2015,525000,40000,1,1,1,0,26.5,1248.0,74.0,1.0,5.0
22,1212,2012,600000,72000,1,1,1,0,21.5,1248.0,88.8,2.0,5.0
23,1781,2018,500000,35000,3,1,1,0,2.3,11.0,83.81,114.0,5.0
24,1069,2016,575000,45000,3,1,1,0,21.4,117.0,83.1,115.0,5.0
25,1033,2017,275000,28000,3,1,1,0,24.7,76.0,47.3,6.0,5.0
26,78,2013,300000,70000,1,1,1,0,18.2,1248.0,73.8,172.5,7.0
27,1340,2009,220000,120000,3,1,1,0,18.0,161.0,67.0,84.0,5.0
28,1182,2018,254999,25000,3,1,1,0,16.8,76.0,34.2,5.0,8.0
29,1309,2017,670000,70000,1,1,1,0,24.3,1248.0,88.5,2.0,5.0
30,1180,2012,150000,35000,3,1,1,2,14.0,76.0,35.0,6.1,5.0
31,678,2018,730000,2388,3,1,1,0,18.6,117.0,81.83,114.7,5.0
32,1308,2017,650000,16200,1,1,1,0,24.3,1248.0,88.5,2.0,5.0
33,1030,2019,330000,10000,0,1,1,2,33.44,76.0,4.3,6.0,4.0
34,1053,2019,366000,15000,3,1,1,0,23.5,8.0,67.1,0.0,5.0
35,633,2019,1149000,5000,3,1,1,0,17.0,151.0,121.3,151.0,5.0
36,126,2016,150000,42000,3,1,1,0,2.63,118.0,67.0,14.0,5.0
37,1727,2011,425000,60000,1,1,1,2,13.3,217.0,138.3,32.0,7.0
38,1020,2012,150000,76000,3,1,1,0,16.1,76.0,37.0,5.0,4.0
